AWS Extension Dependency,Function category,complexity,Efforts(Hours)
aws_oracle_ext.array$clear_procedure,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.array$assign,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.trunc,DATE_FUNCTION,SIMPLE,1
aws_oracle_ext.table,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_user_tab_partitions,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.dbms_utility$get_time,DBMS_UTILITY,SIMPLE,1
aws_oracle_ext.dbms_lob$write,LOB_PROCESSING_DBMS,COMPLEX,4
aws_oracle_ext.dbms_lob$substr,LOB_PROCESSING_DBMS,COMPLEX,4
aws_oracle_ext.dbms_lob$read,LOB_PROCESSING_DBMS,COMPLEX,4
aws_oracle_ext.dbms_lob$getlength,LOB_PROCESSING_DBMS,COMPLEX,4
